Y,X1,X2
-578,-70,-508
-1105,-435,-670
-1106,-837,-269
-1190,-933,-257
-1144,-249,-895
-446,-34,-412
-1131,-860,-271
-919,-310,-609
-705,-338,-367
-1130,-693,-437
-613,-259,-354
-1086,-362,-724
-878,-715,-163
-652,-480,-172
-1417,-487,-930
-465,-165,-300
-1165,-908,-257
-530,-156,-374
-1118,-706,-412
-850,-358,-492
-1003,-764,-239
-1174,-605,-569
-532,-348,-184
-1438,-773,-665
-756,-544,-212
-395,-168,-227
-1230,-802,-428
-422,-340,-82
-1266,-900,-366
-1179,-731,-448
-960,-37,-923
-746,-249,-497
-1453,-961,-492
-1339,-893,-446
-1413,-876,-537
-644,-70,-574
-183,-100,-83
-623,-368,-255
-1127,-526,-601
-1376,-846,-530
-506,-255,-251
-122,-102,-20
-709,-565,-144
-1266,-427,-839
-559,-434,-125
-409,-232,-177
-1501,-545,-956
-629,-112,-517
-481,-434,-47
-344,-26,-318
-712,-385,-327
-665,-49,-616
-1088,-183,-905
-1147,-670,-477
-1303,-537,-766
-1099,-213,-886
-1008,-949,-59
-1035,-630,-405
-1381,-780,-601
-68,0,-68
-1780,-892,-888
-1371,-396,-975
-1347,-539,-808
-648,-535,-113
-845,-60,-785
-1108,-814,-294
-248,-20,-228
-728,-533,-195
-554,-231,-323
-1529,-615,-914
-628,-605,-23
-1175,-275,-900
-1282,-362,-920
-523,-471,-52
-1060,-283,-777
-949,-574,-375
-1201,-592,-609
-786,-570,-216
-1350,-489,-861
-514,-63,-451
-1355,-899,-456
-674,-158,-516
-680,-65,-615
-555,-369,-186
-1365,-536,-829
-769,-172,-597
-829,-658,-171
-1146,-968,-178
-1299,-466,-833
-630,-131,-499
-773,-37,-736
-962,-732,-230
-1416,-918,-498
-1190,-406,-784
-780,-428,-352
-901,-618,-283
-1126,-950,-176
-653,-280,-373
-872,-797,-75
-787,-187,-600
-991,-947,-44
-1029,-492,-537
-1824,-834,-990
-612,-120,-492
-1535,-889,-646
-1281,-583,-698
-871,-474,-397
-1742,-811,-931
-1131,-218,-913
-865,-659,-206
-643,-18,-625
-553,-452,-101
-725,-25,-700
-1346,-769,-577
-1495,-602,-893
-999,-72,-927
-154,-151,-3
-717,-563,-154
-867,-11,-856
-1203,-324,-879
-901,-518,-383
-493,-427,-66
-239,-106,-133
-1915,-990,-925
-1169,-200,-969
-558,-468,-90
-1743,-749,-994
-1422,-780,-642
-1150,-988,-162
-955,-108,-847
-1197,-409,-788
-893,-26,-867
-1077,-110,-967
-610,-524,-86
-1769,-882,-887
-786,-75,-711
-962,-369,-593
-871,-297,-574
-1256,-307,-949
-1328,-597,-731
-600,-121,-479
-1114,-466,-648
-817,-503,-314
-631,-599,-32
-1218,-925,-293
-690,-56,-634
-1009,-461,-548
-780,-454,-326
-745,-412,-333
-437,-76,-361
-761,-127,-634
-883,-505,-378
-1398,-782,-616
-1540,-581,-959
-774,-578,-196
-511,-98,-413
-786,-440,-346
-508,-36,-472
-890,-70,-820
-1388,-860,-528
-1320,-331,-989
-804,-514,-290
-940,-556,-384
-1032,-566,-466
-1182,-865,-317
-1139,-390,-749
-951,-841,-110
-1469,-915,-554
-1668,-669,-999
-563,-2,-561
-847,-108,-739
-274,-165,-109
-1712,-834,-878
-1586,-985,-601
-691,-472,-219
-921,-204,-717
-1223,-716,-507
-1119,-481,-638
-699,-165,-534
-1231,-746,-485
-1144,-517,-627
-1486,-638,-848
-1332,-485,-847
-453,-421,-32
-293,-259,-34
-896,-611,-285
-1336,-954,-382
-1611,-642,-969
-1134,-865,-269
-631,-562,-69
-491,-374,-117
-1468,-677,-791
-1056,-154,-902
-777,-432,-345
-673,-259,-414
-1204,-624,-580
-270,-120,-150
-1065,-499,-566
-989,-767,-222
-894,-240,-654
-325,-224,-101
-1060,-415,-645
-991,-819,-172
-1154,-478,-676
-1471,-925,-546
-930,-874,-56
-933,-884,-49
-1262,-619,-643
-309,-76,-233
-1304,-394,-910
-679,-287,-392
-826,-721,-105
-1206,-569,-637
-1307,-636,-671
-642,-110,-532
-907,-421,-486
-1413,-498,-915
-985,-290,-695
-966,-401,-565
-1303,-626,-677
-1336,-464,-872
-313,-152,-161
-660,-117,-543
-568,-308,-260
-1568,-819,-749
-921,-98,-823
-1691,-993,-698
-1395,-532,-863
-1064,-401,-663
-931,-458,-473
-970,-970,0
-1564,-834,-730
-1211,-405,-806
-1032,-861,-171
-1636,-870,-766
-509,-119,-390
-1847,-927,-920
-1406,-555,-851
-1165,-179,-986
-503,-243,-260
-900,-313,-587
-1318,-480,-838
-841,-334,-507
-975,-716,-259
